"CustomerID","Gender","Age","Annual_Income","Spending_Score","Gender_Encoded","HC_Cluster"
49,"Female",29,40,42,1,1
65,"Male",63,48,51,2,2
153,"Female",44,78,20,1,3
74,"Female",60,50,56,1,1
146,"Male",28,77,97,2,3
122,"Female",38,67,40,1,4
200,"Male",30,137,83,2,1
128,"Male",40,71,95,2,3
47,"Female",50,40,55,1,1
24,"Male",31,25,73,2,4
71,"Male",70,49,55,2,1
100,"Male",20,61,49,2,1
89,"Female",34,58,60,1,2
165,"Male",50,85,26,2,4
110,"Male",66,63,48,2,4
20,"Female",35,23,98,1,1
154,"Female",38,78,76,1,2
114,"Male",19,64,46,2,5
111,"Male",65,63,52,2,5
131,"Male",47,71,9,2,1
41,"Female",65,38,35,1,3
188,"Male",28,101,68,2,2
27,"Female",45,28,32,1,3
164,"Female",31,81,93,1,1
109,"Male",68,63,43,2,1
5,"Female",31,17,40,1,2
162,"Female",29,79,83,1,4
92,"Male",18,59,41,2,5
104,"Male",26,62,55,2,1
3,"Female",20,16,6,1,2
58,"Male",69,44,46,2,3
42,"Male",24,38,92,2,1
191,"Female",34,103,23,1,1
158,"Female",30,78,78,1,2
43,"Male",48,39,36,2,1
143,"Female",28,76,40,1,5
150,"Male",34,78,90,2,3
170,"Male",32,87,63,2,3
136,"Female",29,73,88,1,5
36,"Female",21,33,81,1,3
68,"Female",68,48,48,1,2
196,"Female",35,120,79,1,3
176,"Female",30,88,86,1,4
173,"Male",36,87,10,2,4
4,"Female",23,16,77,1,2
99,"Male",48,61,42,2,1
184,"Female",29,98,88,1,2
183,"Male",46,98,15,2,1
6,"Female",22,17,76,1,1
134,"Female",31,72,71,1,1
130,"Male",38,71,75,2,1
116,"Female",19,65,50,1,4
171,"Male",40,87,13,2,1
118,"Female",49,65,59,1,1
2,"Male",21,15,81,2,3
102,"Female",49,62,48,1,3
138,"Male",32,73,73,2,1
40,"Female",20,37,75,1,4
175,"Female",52,88,13,1,5
33,"Male",53,33,4,2,1
103,"Male",67,62,59,2,3
167,"Male",42,86,20,2,1
73,"Female",60,50,49,1,1
76,"Male",26,54,54,2,1
9,"Male",64,19,3,2,3
35,"Female",49,33,14,1,1
16,"Male",22,20,79,2,3
101,"Female",23,62,41,1,1
69,"Male",19,48,59,2,1
147,"Male",48,77,36,2,4
177,"Male",58,88,15,2,2
82,"Male",38,54,55,2,4
168,"Female",33,86,95,1,1
113,"Female",38,64,42,1,2
18,"Male",20,21,66,2,3
132,"Male",39,71,75,2,1
186,"Male",30,99,97,2,4
172,"Male",28,87,75,2,3
55,"Female",50,43,45,1,3
187,"Female",54,101,24,1,2
21,"Male",35,24,35,2,1
189,"Female",41,103,17,1,4
57,"Female",51,44,50,1,4
119,"Female",51,67,43,1,4
140,"Female",35,74,72,1,2
169,"Female",36,87,27,1,4
126,"Female",31,70,77,1,4
91,"Female",68,59,55,1,3
13,"Female",58,20,15,1,4
53,"Female",31,43,54,1,1
54,"Male",59,43,60,2,1
83,"Male",67,54,41,2,3
32,"Female",21,30,73,1,1
80,"Female",49,54,42,1,1
60,"Male",53,46,46,2,5
29,"Female",40,29,31,1,2
81,"Male",57,54,51,2,2
144,"Female",32,76,87,1,2
85,"Female",21,54,57,1,1
166,"Female",36,85,75,1,1
163,"Male",19,81,5,2,4
72,"Female",47,49,42,1,4
105,"Male",49,62,56,2,3
195,"Female",47,120,16,1,1
38,"Female",30,34,73,1,3
1,"Male",19,15,39,2,4
112,"Female",19,63,54,1,4
78,"Male",40,54,48,2,3
142,"Male",32,75,93,2,2
149,"Female",34,78,22,1,3
97,"Female",47,60,47,1,3
151,"Male",43,78,17,2,3
133,"Female",25,72,34,1,3
115,"Female",18,65,48,1,3
87,"Female",55,57,58,1,2
181,"Female",37,97,32,1,4
98,"Female",27,60,50,1,3
25,"Female",54,28,14,1,1
63,"Female",67,47,52,1,5
108,"Male",54,63,46,2,4
14,"Female",24,20,77,1,5
152,"Male",39,78,88,2,2
192,"Female",32,103,69,1,1
88,"Female",22,57,55,1,3
62,"Male",19,46,55,2,3
37,"Female",42,34,17,1,3
31,"Male",60,30,4,2,4
34,"Male",18,33,92,2,2
79,"Female",23,54,52,1,2
96,"Male",24,60,52,2,3
155,"Female",47,78,16,1,1
15,"Male",37,20,13,2,3
127,"Male",43,71,35,2,1
86,"Male",48,54,46,2,4
106,"Female",21,62,42,1,1
12,"Female",35,19,99,1,2
64,"Female",54,47,59,1,3
26,"Male",29,28,82,2,4
180,"Male",35,93,90,2,3
95,"Female",32,60,42,1,2
159,"Male",34,78,1,2,3
56,"Male",47,43,41,2,3
193,"Male",33,113,8,2,3
160,"Female",30,78,73,1,4
139,"Male",19,74,10,2,3
28,"Male",35,28,61,2,1
77,"Female",45,54,53,1,3
107,"Female",66,63,50,1,4
145,"Male",25,77,12,2,1
66,"Male",18,48,59,2,2
197,"Female",45,126,28,1,3
123,"Female",40,69,58,1,2
178,"Male",27,88,69,2,1
10,"Female",30,19,72,1,1
90,"Female",50,58,46,1,3
75,"Male",59,54,47,2,2
93,"Male",48,60,49,2,1
157,"Male",37,78,1,2,3
135,"Male",20,73,5,2,2
182,"Female",32,97,86,1,4
