CustomerID,Gender,Age,Annual_Income,Spending_Score,Gender_Encoded,KMeans_Cluster
1,Male,19.0,15.0,39.0,2,5
2,Male,21.0,15.0,81.0,2,4
3,Female,20.0,16.0,6.0,1,5
4,Female,23.0,16.0,77.0,1,4
5,Female,31.0,17.0,40.0,1,5
6,Female,22.0,17.0,76.0,1,4
7,Female,35.0,18.0,6.0,1,5
8,Female,23.0,18.0,94.0,1,4
9,Male,64.0,19.0,3.0,2,5
10,Female,30.0,19.0,72.0,1,4
11,Male,67.0,19.0,14.0,2,5
12,Female,35.0,19.0,99.0,1,4
13,Female,58.0,20.0,15.0,1,5
14,Female,24.0,20.0,77.0,1,4
15,Male,37.0,20.0,13.0,2,5
16,Male,22.0,20.0,79.0,2,4
17,Female,35.0,21.0,35.0,1,5
18,Male,20.0,21.0,66.0,2,3
19,Male,52.0,23.0,29.0,2,5
20,Female,35.0,23.0,98.0,1,4
21,Male,35.0,24.0,35.0,2,5
22,Male,25.0,24.0,73.0,2,4
23,Female,46.0,25.0,5.0,1,5
24,Male,31.0,25.0,73.0,2,4
25,Female,54.0,28.0,14.0,1,5
26,Male,29.0,28.0,82.0,2,4
27,Female,45.0,28.0,32.0,1,5
28,Male,35.0,28.0,61.0,2,3
29,Female,40.0,29.0,31.0,1,5
30,Female,23.0,29.0,87.0,1,4
31,Male,60.0,30.0,4.0,2,5
32,Female,21.0,30.0,73.0,1,4
33,Male,53.0,33.0,4.0,2,5
34,Male,18.0,33.0,92.0,2,4
35,Female,49.0,33.0,14.0,1,5
36,Female,21.0,33.0,81.0,1,4
37,Female,42.0,34.0,17.0,1,5
38,Female,30.0,34.0,73.0,1,4
39,Female,36.0,37.0,26.0,1,5
40,Female,20.0,37.0,75.0,1,4
41,Female,65.0,38.0,35.0,1,5
42,Male,24.0,38.0,92.0,2,4
43,Male,48.0,39.0,36.0,2,5
44,Female,31.0,39.0,61.0,1,3
45,Female,49.0,39.0,28.0,1,5
46,Female,24.0,39.0,65.0,1,3
47,Female,50.0,40.0,55.0,1,3
48,Female,27.0,40.0,47.0,1,3
49,Female,29.0,40.0,42.0,1,3
50,Female,31.0,40.0,42.0,1,3
51,Female,49.0,42.0,52.0,1,3
52,Male,33.0,42.0,60.0,2,3
53,Female,31.0,43.0,54.0,1,3
54,Male,59.0,43.0,60.0,2,3
55,Female,50.0,43.0,45.0,1,3
56,Male,47.0,43.0,41.0,2,3
57,Female,51.0,44.0,50.0,1,3
58,Male,69.0,44.0,46.0,2,3
59,Female,27.0,46.0,51.0,1,3
60,Male,53.0,46.0,46.0,2,3
61,Male,70.0,46.0,56.0,2,3
62,Male,19.0,46.0,55.0,2,3
63,Female,67.0,47.0,52.0,1,3
64,Female,54.0,47.0,59.0,1,3
65,Male,63.0,48.0,51.0,2,3
66,Male,18.0,48.0,59.0,2,3
67,Female,43.0,48.0,50.0,1,3
68,Female,68.0,48.0,48.0,1,3
69,Male,19.0,48.0,59.0,2,3
70,Female,32.0,48.0,47.0,1,3
71,Male,70.0,49.0,55.0,2,3
72,Female,47.0,49.0,42.0,1,3
73,Female,60.0,50.0,49.0,1,3
74,Female,60.0,50.0,56.0,1,3
75,Male,59.0,54.0,47.0,2,3
76,Male,26.0,54.0,54.0,2,3
77,Female,45.0,54.0,53.0,1,3
78,Male,40.0,54.0,48.0,2,3
79,Female,23.0,54.0,52.0,1,3
80,Female,49.0,54.0,42.0,1,3
81,Male,57.0,54.0,51.0,2,3
82,Male,38.0,54.0,55.0,2,3
83,Male,67.0,54.0,41.0,2,3
84,Female,46.0,54.0,44.0,1,3
85,Female,21.0,54.0,57.0,1,3
86,Male,48.0,54.0,46.0,2,3
87,Female,55.0,57.0,58.0,1,3
88,Female,22.0,57.0,55.0,1,3
89,Female,34.0,58.0,60.0,1,3
90,Female,50.0,58.0,46.0,1,3
91,Female,68.0,59.0,55.0,1,3
92,Male,18.0,59.0,41.0,2,3
93,Male,48.0,60.0,49.0,2,3
94,Female,40.0,60.0,40.0,1,3
95,Female,32.0,60.0,42.0,1,3
96,Male,24.0,60.0,52.0,2,3
97,Female,47.0,60.0,47.0,1,3
98,Female,27.0,60.0,50.0,1,3
99,Male,48.0,61.0,42.0,2,3
100,Male,20.0,61.0,49.0,2,3
101,Female,23.0,62.0,41.0,1,3
102,Female,49.0,62.0,48.0,1,3
103,Male,67.0,62.0,59.0,2,3
104,Male,26.0,62.0,55.0,2,3
105,Male,49.0,62.0,56.0,2,3
106,Female,21.0,62.0,42.0,1,3
107,Female,66.0,63.0,50.0,1,3
108,Male,54.0,63.0,46.0,2,3
109,Male,68.0,63.0,43.0,2,3
110,Male,66.0,63.0,48.0,2,3
111,Male,65.0,63.0,52.0,2,3
112,Female,19.0,63.0,54.0,1,3
113,Female,38.0,64.0,42.0,1,3
114,Male,19.0,64.0,46.0,2,3
115,Female,18.0,65.0,48.0,1,3
116,Female,19.0,65.0,50.0,1,3
117,Female,63.0,65.0,43.0,1,3
118,Female,49.0,65.0,59.0,1,3
119,Female,51.0,67.0,43.0,1,3
120,Female,50.0,67.0,57.0,1,3
121,Male,27.0,67.0,56.0,2,3
122,Female,38.0,67.0,40.0,1,3
123,Female,40.0,69.0,58.0,1,3
124,Male,39.0,69.0,91.0,2,3
125,Female,23.0,70.0,29.0,1,3
126,Female,31.0,70.0,77.0,1,3
127,Male,43.0,71.0,35.0,2,1
128,Male,40.0,71.0,95.0,2,2
129,Male,59.0,71.0,11.0,2,1
130,Male,38.0,71.0,75.0,2,2
131,Male,47.0,71.0,9.0,2,1
132,Male,39.0,71.0,75.0,2,2
133,Female,25.0,72.0,34.0,1,1
134,Female,31.0,72.0,71.0,1,2
135,Male,20.0,73.0,5.0,2,1
136,Female,29.0,73.0,88.0,1,2
137,Female,44.0,73.0,7.0,1,1
138,Male,32.0,73.0,73.0,2,2
139,Male,19.0,74.0,10.0,2,1
140,Female,35.0,74.0,72.0,1,2
141,Female,57.0,75.0,5.0,1,1
142,Male,32.0,75.0,93.0,2,2
143,Female,28.0,76.0,40.0,1,1
144,Female,32.0,76.0,87.0,1,2
145,Male,25.0,77.0,12.0,2,1
146,Male,28.0,77.0,97.0,2,2
147,Male,48.0,77.0,36.0,2,1
148,Female,32.0,77.0,74.0,1,2
149,Female,34.0,78.0,22.0,1,1
150,Male,34.0,78.0,90.0,2,2
151,Male,43.0,78.0,17.0,2,1
152,Male,39.0,78.0,88.0,2,2
153,Female,44.0,78.0,20.0,1,1
154,Female,38.0,78.0,76.0,1,2
155,Female,47.0,78.0,16.0,1,1
156,Female,27.0,78.0,89.0,1,2
157,Male,37.0,78.0,1.0,2,1
158,Female,30.0,78.0,78.0,1,2
159,Male,34.0,78.0,1.0,2,1
160,Female,30.0,78.0,73.0,1,2
